code,element
LLOD1,NO2
AMURRI,SO2
LLOD1,DirV
LLOD1,Humedad
LLOD1,NO
LLOD1,O3
LLOD1,PM10
LLOD1,SO2
LLOD1,T
LLOD1,VelV
LLOD1,P
ARETA1,CO
ARETA1,NO
ARETA1,NO2
ARETA1,O3
ARETA1,PM10
ARETA1,SO2
ARRI01,CO
ARRI01,NO
ARRI01,NO2
ARRI01,O3
ARRI01,PM10
ARRI01,SO2
AMURRI,NO
AMURRI,NO2
AMURRI,O3
AMURRI,PM10
LLOD1,CO
BANDER,NO2
BANDER,O3
BANDER,T
BANDER,VelV
NAUTIC,DirV
NAUTIC,Humedad
NAUTIC,NO
NAUTIC,NO2
NAUTIC,P
NAUTIC,PM10
NAUTIC,SO2
NAUTIC,T
NAUTIC,VelV
FERIA,Humedad
FERIA,T
EUROPA,PM2.5
ELORRI,PM2.5
GETXO,PM10
EUROPA,HC
STAANA,NO2
STAANA,SO2
SGRNIZ,PM10
LARRAS,NO
LARRAS,NO2
LARRAS,SO2
LARRAS,PM10
LARRAS,PM2.5
SESTAO,CO
SESTAO,NO
SESTAO,NO2
SESTAO,O3
SANTUR,CO
SANTUR,DirV
SANTUR,NO
SANTUR,NO2
SANTUR,O3
SANTUR,PM10
SANTUR,PM2.5
SANTUR,SO2
SANTUR,VelV
ZORRO2,PM2.5
ZORRO2,NH3
ZORRO2,CO
ZORRO2,NO
ZORRO2,NO2
ZORRO2,SH2
INDAUC,O3
INDAUC,C6H6
INDAUC,C8H10
INDAUC,C7H8
INDAUC,O_C8H10
INDAUC,NO2
INDAUC,NO
ERANDI,PM2.5
ALONSO,Humedad
ALONSO,DirV
SGRNIZ,CO
SGRNIZ,DirV
SGRNIZ,Humedad
SGRNIZ,NO
SGRNIZ,NO2
SGRNIZ,O3
SGRNIZ,P
SGRNIZ,Rad
SGRNIZ,SO2
SGRNIZ,T
SGRNIZ,VelV
EUROPA,NO
EUROPA,CO
EUROPA,NO2
EUROPA,O3
EUROPA,PM10
EUROPA,SO2
ONDIZ,SO2
BASAUR,PM10
BARACA,NH3
BARACA,NO
BARACA,NO2
BARACA,PM10
BARACA,SO2
BASAUR,DirV
BASAUR,Humedad
BASAUR,NO
BASAUR,NO2
BASAUR,O3
BASAUR,P
BASAUR,Rad
BASAUR,SO2
BASAUR,T
BASAUR,VelV
GETXO,CO
GETXO,NO
GETXO,NO2
GETXO,O3
GETXO,PM2.5
GETXO,SO2
ABANTO,NO2
ABANTO,DirV
ABANTO,Humedad
ABANTO,NO
ABANTO,O3
ABANTO,PM10
ABANTO,SO2
ABANTO,T
ABANTO,VelV
STAANA,NO
STAANA,PM2.5
ERANDI,CO
ERANDI,Humedad
ERANDI,NO
ERANDI,NO2
ERANDI,O3
ERANDI,PM10
ERANDI,SO2
ERANDI,T
BANDER,DirV
BANDER,Humedad
BANDER,NO
CRUCES,SO2
FERIA,DirV
FERIA,VelV
MAZARR,NO
MAZARR,CO
MAZARR,O3
MAZARR,NO2
MAZARR,PM10
MAZARR,SO2
MAZARR,HC
ELORRI,NO
ELORRI,NO2
ELORRI,O3
ELORRI,SO2
7CAMPA,CO
7CAMPA,NO
7CAMPA,NO2
7CAMPA,SO2
INDAUC,CO
INDAUC,NO
INDAUC,NO2
INDAUC,PM10
ADRIAN,CO
INDAUC,SO2
ADRIAN,NO2
ADRIAN,NO
ADRIAN,SO2
TXURDI,CO
TXURDI,O3
TXURDI,PM10
TXURDI,SO2
ARRAIZ,VelV
7CAMPA,PM2.5
ALONSO,VelV
ALONSO,T
ALONSO,NO
ALONSO,NO2
ALONSO,O3
ALONSO,P
ALONSO,PM10
ALONSO,SO2
ARRAIZ,DirV
ARRAIZ,HC met
ARRAIZ,HC no met
ARRAIZ,Humedad
ARRAIZ,NO
ARRAIZ,NO2
ARRAIZ,O3
ARRAIZ,P
ARRAIZ,PM10
ARRAIZ,SO2
ARRAIZ,T
CASTRE,DirV
CASTRE,Humedad
CASTRE,NO
CASTRE,NO2
CASTRE,O3
CASTRE,P
CASTRE,PM10
CASTRE,SO2
CASTRE,T
CASTRE,VelV
ALONSO,HC met
ALONSO,HC no met
HERNA1,DirV
EASO,O_C8H10
HERNA1,NO
HERNA1,NO2
HERNA1,O3
HERNA1,P
HERNA1,PM10
HERNA1,Rad
HERNA1,SO2
HERNA1,T
HERNA1,VelV
RENTE1,CO
RENTE1,NO
RENTE1,NO2
RENTE1,O3
RENTE1,PM10
RENTE1,PM2.5
RENTE1,SO2
ATEGOR,CO
ATEGOR,NO
ATEGOR,NO2
ATEGOR,O3
ATEGOR,PM2.5
ATEGOR,SO2
IRUN,PM10
LEZO,CO
LEZO,Humedad
LEZO,NO
LEZO,NO2
LEZO,O3
LEZO,P
LEZO,Rad
LEZO,SO2
LEZO,T
PUYO,DirV
PUYO,Humedad
PUYO,NO
PUYO,NO2
PUYO,O3
PUYO,P
PUYO,PM10
PUYO,Rad
PUYO,SO2
PUYO,T
PUYO,VelV
ATEGOR,PM10
LEZO,PM10
LEZO,PM2.5
IRUN,O3
IRUN,NO
IRUN,NO2
IRUN,CO
IRUN,SO2
EASO,CO
EASO,NO
EASO,NO2
EASO,O3
EASO,PM10
EASO,SO2
EASO,C6H6
EASO,C8H10
EASO,C7H8
HERNA1,Humedad
ZALLA,NO
ZALLA,NO2
ZALLA,O3
ZALLA,CO
ZALLA,PM2.5
ZALLA,SH2
ZALLA,SO2
ZALLA,PM10
BEASAI,CO
TOLOSA,O3
BEASAI,Humedad
BEASAI,PM10
BEASAI,P
BEASAI,Rad
BEASAI,T
BEASAI,VelV
BEASAI,NO
BEASAI,NO2
BEASAI,O3
BEASAI,SO2
BEASAI,PM2.5
TOLOSA,PM10
TOLOSA,SO2
TOLOSA,CO
TOLOSA,NO
TOLOSA,NO2
BEASAI,DirV
ELORIO,PM2.5
ELORIO,SO2
ELORIO,CO
ELORIO,NO
ELORIO,NO2
ELORIO,PM10
ELORIO,DirV
ELORIO,Humedad
ELORIO,P
ELORIO,Rad
ELORIO,T
ELORIO,VelV
LEMONA,NO2
LEMONA,Humedad
LEMONA,NO
MONDR1,CO
MONDR1,NO
MONDR1,NO2
MONDR1,O3
MONDR1,PM10
LEMONA,CO
LEMONA,DirV
LEMONA,O3
LEMONA,P
LEMONA,Rad
LEMONA,SO2
LEMONA,T
LEMONA,VelV
DURANG,CO
DURANG,DirV
DURANG,Humedad
DURANG,NO
DURANG,NO2
DURANG,O3
DURANG,P
DURANG,PM10
DURANG,PM2.5
DURANG,Rad
DURANG,SO2
DURANG,T
DURANG,VelV
URKIOL,O3
LEMONA,PM10
AMOREB,CO
AMOREB,NO
AMOREB,NO2
AMOREB,O3
AMOREB,PM10
AMOREB,PM2.5
AMOREB,SO2
ZELAIE,CO
ZELAIE,NO
ZELAIE,NO2
ZELAIE,O3
ZELAIE,PM10
ZELAIE,PM2.5
ZELAIE,SO2
BOROA,DirV
BOROA,Humedad
BOROA,P
BOROA,T
BOROA,VelV
BOROA,Rad
LEMONA,PM2.5
MONDR1,SO2
LARRAB,VelV
LARRAB,DirV
LARRAB,NO
LARRAB,NO2
LARRAB,O3
MONTOR,DirV
MONTOR,NO
MONTOR,NO2
MONTOR,O3
MONTOR,SO2
MONTOR,VelV
ZIERBE,CO
ZIERBE,DirV
ZIERBE,Humedad
ZIERBE,NO2
ZIERBE,O3
ZIERBE,P
ZIERBE,PM10
ZIERBE,SO2
ZIERBE,T
ZIERBE,VelV
ZIERBE,NO
ALGORT,PM2.5
PAGOET,CO
